0,1
"What happens if I do not have a license and is involved in or commit an accident? ","Earlier, the fine imposed on a person for driving without a licence was Rs 1,500, which has been steeply hiked to Rs 10,000 under the new motor vehicle law since the last year. But the offender will have to pay dearly if he or she gets involved in an accident while driving without a valid licence.
"
"What is the penality for Driving/Riding without insurance?","A fine of Rs 2000/- and/or imprisonment up to 3 months for the first offence.
Fine of Rs 4000/- and/or imprisonment up to 3 months for the second offence.
"
"What happens if I am causing obstruction to free flow of traffic?","A fine of Rs 500 will imposed for that.
"
"Can I drive when mentally or physically unfit to drive for?","That is not recommened at all. You should never dirve if you are unfit. If found, fine will be imposed:
First Offence Rs 1000.
Second offence Rs 2000.
"
"What is the penality for driving or riding Under the Influence of an Intoxicating Substance or Drunk driving?","PunishableAct that can get you imprisonment up to 6 months and/or fine up to Rs 10,000 for the first offence. And imprisonment up to 2 years and/or fine of Rs 15,000 for the second offence.
"
"Can i drive under drugs?","PunishableAct that can get you imprisonment up to 6 months and/or fine up to Rs 10,000 for the first offence. And imprisonment up to 2 years and/or fine of Rs 15,000 for the second offence.
"
"What is the penality for unauthorized use of the vehicle without a license?","You can be fined Rs 5,000
"
"Is it illegal to drive without car tax?","It's illegal to drive on the road with an untaxed vehicle, but there are certain situations where it is allowed.
"
"What is the speed limit in Kerala?","The speed limit of vechicles in highway is:
80 - Motor Car.	
50 - Autorickshaw.	
80 - Light motor vehicles other than a transport vehicle.	
65 - Light motor vehicle and a transport Vehicle.
"
"Do speed limits apply to bicycles?","Speed limits don't apply to cyclists
"
"How can I check vehicle owner?","Visit the official website of Regional Transport Office(RTO).
"
"How can I check vehicle owner in Kerala?","Go to India Government official website(Vahan) of motor vehicle Department to find an vechicle owner.
"
"Can I drive my friend's car in Kerala?","There is no restriction as such for driving a vehicle registered in another person's name as long as the registration papers of the vehicle and your licence are current. No police officer can fine you for just driving a vehicle belonging to another person on that ground only.
"
"Can I smoke and drive?","Smoking in public places was prohibited nationwide. Also it is injurious to health.
"
"Can i drive a vehicle without plates in kerala?","According to Section 39 of the Motor Vehicles Act, 1988 no person shall drive or cause or permit the vehicle to be driven in any public place or any other place unless the vehicle has been registered according to the Act and a certificate of registration of the vehicle has not been suspended or canceled and the vehicle carries a registration mark displayed in the prescribed manner.
"
"Can we drive other state vehicle in Kerala?","It is not illegal to drive the car with out-of-state registration plates. Such vehicles are allowed to ply for 11 months after which the vehicle owner will have to pay the road tax in Kerala and get a local registration number.
"
"Can I drive an out of the state vehicle?","It is not illegal to drive the car with out-of-state registration plates. Such vehicles are allowed to ply for 11 months after which the vehicle owner will have to pay the road tax in Kerala and get a local registration number.
"
"How much does it cost to re register a car?","Registration Fees for Vehicles:
Motor Cycle/Scooter/Two Wheelers - Rs 60. 
LMV (Non TPT) - Rs 200. 
LMV (TPT) - Rs 300.
"
